signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2025-01-03 15:30:00+00:00,2025-01-03 15:45:00+00:00,2025-01-06 05:30:00+00:00,BUY,overlap,retest,239,2645.452,2633.979,2668.398,2633.929,stop,11.473,2.179,-25.11,-1.004,9974.89,51.0,2635.9,1.921,11.204,3.842,0.5395,2635.9,2648.263,4,bull,7,0.6596,0.2484,0.092,0.7516,4.121
2025-01-06 16:15:00+00:00,2025-01-06 16:30:00+00:00,2025-01-09 13:35:00+00:00,BUY,overlap,retest,242,2638.775,2619.672,2676.981,2676.981,target,19.103,1.3054,49.87,2.0,10024.77,,2622.665,2.993,18.84,5.987,0.4803,2629.707,2635.861,2,bull,4,0.4395,0.1341,0.4263,0.8659,3.53
2025-01-09 14:30:00+00:00,2025-01-09 14:45:00+00:00,2025-01-13 17:05:00+00:00,BUY,overlap,retest,245,2674.105,2659.681,2702.953,2659.631,stop,14.424,1.7375,-25.15,-1.003,9999.62,,2661.537,1.856,14.139,3.712,0.6409,2661.537,2672.834,4,bull,8,0.8135,0.1798,0.0067,0.8202,5.2
2025-01-13 19:15:00+00:00,2025-01-13 19:30:00+00:00,2025-01-15 09:44:00+00:00,BUY,newyork,retest,240,2659.095,2644.788,2687.709,2687.709,target,14.307,1.7473,50.0,2.0,10049.61,,2646.578,1.79,13.932,3.58,0.5448,2646.578,2661.263,6,bull,5,0.632,0.047,0.321,0.953,1.978
2025-01-21 11:15:00+00:00,2025-01-21 11:30:00+00:00,2025-01-21 16:18:00+00:00,BUY,london,retest,255,2720.292,2709.567,2741.742,2741.742,target,10.725,2.3426,50.25,2.0,10099.86,,2711.219,1.652,10.423,3.304,0.5088,2711.219,2720.066,2,bull,8,0.2967,0.1652,0.5381,0.8348,4.056
2025-02-12 08:15:00+00:00,2025-02-12 08:30:00+00:00,2025-02-12 13:14:00+00:00,BUY,london,retest,265,2892.055,2876.633,2922.899,2876.583,stop,15.422,1.6372,-25.33,-1.003,10074.53,,2878.613,1.98,15.152,3.959,0.4632,2878.613,2890.692,2,bull,9,0.384,0.1196,0.4964,0.8804,4.18
2025-02-24 14:30:00+00:00,2025-02-24 14:45:00+00:00,2025-02-24 15:04:00+00:00,BUY,overlap,retest,268,2943.105,2932.421,2964.473,2932.371,stop,10.684,2.3574,-25.3,-1.005,10049.23,,2934.735,2.314,10.409,4.628,0.4723,2936.941,2950.322,3,bull,6,0.0176,0.1104,0.872,0.8896,9.1
2025-03-24 10:00:00+00:00,2025-03-24 10:15:00+00:00,2025-03-24 14:24:00+00:00,BUY,london,retest,279,3028.272,3017.998,3048.82,3017.948,stop,10.274,2.4453,-25.25,-1.005,10023.98,,3019.62,1.622,9.925,3.244,0.5915,3019.62,3028.815,2,bull,5,0.9537,0.0011,0.0452,0.9989,4.458
2025-03-25 14:30:00+00:00,2025-03-25 14:45:00+00:00,2025-03-26 01:03:00+00:00,BUY,overlap,retest,279,3030.671,3016.366,3059.281,3016.316,stop,14.305,1.7518,-25.15,-1.003,9998.83,,3018.497,2.13,14.079,4.26,0.49,3019.62,3028.815,2,bull,2,0.4394,0.0862,0.4744,0.9138,5.28
2025-03-26 10:15:00+00:00,2025-03-26 10:30:00+00:00,2025-03-26 13:57:00+00:00,BUY,london,retest,279,3023.205,3015.648,3038.319,3015.598,stop,7.557,3.3078,-25.16,-1.007,9973.67,,3017.03,1.382,7.327,2.765,0.4991,3019.62,3028.815,2,bull,11,0.827,0.1712,0.0018,0.8288,5.599
