ts,direction,zone_id,reason,session,price,bars_to_retest,retest_completed,stop_distance,atr15
2023-08-02 01:00:00+00:00,-1,2,out_of_session,off,1948.405,2.0,,,
2023-08-02 01:45:00+00:00,-1,2,out_of_session,off,1947.8035,5.0,,,
2023-08-02 03:45:00+00:00,-1,2,retest_expired,off,1949.375,13.0,False,,
2023-08-02 05:15:00+00:00,-1,2,out_of_session,off,1948.51,5.0,,,
2023-08-02 05:45:00+00:00,-1,2,out_of_session,off,1949.0349999999999,7.0,,,
2023-08-02 06:00:00+00:00,-1,2,out_of_session,off,1948.4865,8.0,,,
2023-08-02 06:45:00+00:00,-1,2,out_of_session,off,1949.15,11.0,,,
2023-08-02 07:15:00+00:00,-1,2,retest_expired,london,1948.6599999999999,13.0,False,,
2023-08-02 12:30:00+00:00,-1,2,stop_too_wide,overlap,1945.6985,,,14.252,2.272
2023-08-02 15:30:00+00:00,-1,2,retest_expired,newyork,1935.0235,13.0,False,,
2023-08-02 17:30:00+00:00,-1,21,retest_expired,newyork,1938.28,13.0,False,,
2023-08-03 20:30:00+00:00,-1,10,stop_too_wide,newyork,1934.2465,,,6.494,1.462
2023-08-03 20:45:00+00:00,-1,10,stop_too_wide,newyork,1934.085,,,6.616,1.384
2023-08-03 22:30:00+00:00,-1,10,out_of_session,off,1935.565,11.0,,,
2023-08-03 23:00:00+00:00,-1,10,retest_expired,off,1935.1950000000002,13.0,False,,
2023-08-04 07:45:00+00:00,-1,10,stop_too_wide,london,1932.95,,,7.8,1.48
2023-08-04 09:45:00+00:00,-1,10,retest_expired,london,1933.5465,13.0,False,,
2023-08-04 11:00:00+00:00,-1,10,stop_too_wide,london,1932.6,,,8.077,1.335
2023-08-07 07:15:00+00:00,-1,21,retest_expired,london,1936.73,13.0,False,,
2023-08-07 17:00:00+00:00,-1,21,retest_expired,newyork,1934.59,13.0,False,,
2023-08-07 18:30:00+00:00,-1,10,retest_expired,newyork,1936.3384999999998,13.0,False,,
2023-08-08 03:15:00+00:00,-1,10,out_of_session,off,1934.5,8.0,,,
2023-08-08 03:45:00+00:00,-1,10,out_of_session,off,1933.16,10.0,,,
2023-08-08 04:30:00+00:00,-1,10,retest_expired,off,1933.7385,13.0,False,,
2023-08-08 06:15:00+00:00,-1,10,out_of_session,off,1933.2685000000001,4.0,,,
2023-08-08 06:45:00+00:00,-1,10,out_of_session,off,1933.21,6.0,,,
2023-08-08 07:15:00+00:00,-1,10,stop_too_wide,london,1932.83,,,7.853,1.348
2023-08-08 08:30:00+00:00,-1,10,retest_expired,london,1933.1,13.0,False,,
2023-08-09 18:00:00+00:00,-1,30,retest_expired,newyork,1915.78,13.0,False,,
2023-08-10 14:00:00+00:00,-1,30,stop_too_wide,overlap,1917.53,,,14.146,2.982
2023-08-10 16:30:00+00:00,-1,30,retest_expired,newyork,1920.9015,13.0,False,,
2023-08-22 05:45:00+00:00,-1,42,out_of_session,off,1895.4850000000001,4.0,,,
2023-08-22 06:30:00+00:00,-1,42,out_of_session,off,1898.8435,7.0,,,
2023-08-22 08:00:00+00:00,-1,42,retest_expired,london,1900.65,13.0,False,,
