signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2025-01-03 15:30:00+00:00,2025-01-03 15:45:00+00:00,1,2635.9,1.921,2633.979,11.204,2645.184,3.842,0.5395,239,2635.9,2648.263,4,retest,overlap,bull,7,True,0.6596,0.2484,0.092,0.7516,4.121
2025-01-06 16:15:00+00:00,2025-01-06 16:30:00+00:00,1,2622.665,2.993,2619.672,18.84,2638.511,5.987,0.4803,242,2629.707,2635.861,2,retest,overlap,bull,4,True,0.4395,0.1341,0.4263,0.8659,3.53
2025-01-06 19:15:00+00:00,2025-01-06 19:30:00+00:00,1,2629.707,1.957,2627.75,6.845,2634.596,3.913,0.4214,242,2629.707,2635.861,2,retest,newyork,bull,4,True,0.3325,0.325,0.3424,0.675,1.609
2025-01-06 21:45:00+00:00,2025-01-06 23:00:00+00:00,1,2629.707,1.285,2628.422,8.033,2636.455,2.57,0.4901,242,2629.707,2635.861,2,retest,newyork,bull,3,True,0.3855,0.0964,0.5181,0.9036,0.83
2025-01-08 17:45:00+00:00,2025-01-08 18:00:00+00:00,1,2649.435,2.319,2647.115,8.6,2655.715,4.638,0.5436,245,2661.619,2668.116,3,retest,newyork,bull,4,True,0.3226,0.1489,0.5285,0.8511,6.863
2025-01-09 14:30:00+00:00,2025-01-09 14:45:00+00:00,1,2661.537,1.856,2659.681,14.139,2673.82,3.712,0.6409,245,2661.537,2672.834,4,retest,overlap,bull,8,True,0.8135,0.1798,0.0067,0.8202,5.2
2025-01-09 16:00:00+00:00,2025-01-09 16:15:00+00:00,1,2661.537,1.879,2659.658,10.332,2669.99,3.759,0.5602,245,2661.537,2672.834,4,retest,overlap,bull,4,True,0.5188,0.0258,0.4554,0.9742,3.1
2025-01-10 08:45:00+00:00,2025-01-10 09:00:00+00:00,1,2671.565,1.276,2670.289,9.756,2680.045,2.552,0.6346,244,2671.565,2678.985,2,retest,london,bull,1,True,0.1658,0.0948,0.7394,0.9052,4.075
2025-01-10 12:30:00+00:00,2025-01-10 12:45:00+00:00,1,2671.565,1.284,2670.281,7.336,2677.617,2.568,0.7241,244,2671.565,2678.985,2,retest,london,bull,10,True,0.236,0.0259,0.7381,0.9741,2.839
2025-01-13 19:15:00+00:00,2025-01-13 19:30:00+00:00,1,2646.578,1.79,2644.788,13.932,2658.72,3.58,0.5448,240,2646.578,2661.263,6,retest,newyork,bull,5,True,0.632,0.047,0.321,0.953,1.978
2025-01-14 10:45:00+00:00,2025-01-14 11:00:00+00:00,1,2661.537,1.345,2660.193,6.547,2666.74,2.69,0.5251,245,2661.537,2672.834,4,retest,london,bull,10,True,0.611,0.2261,0.1629,0.7739,2.078
2025-01-14 16:30:00+00:00,2025-01-14 16:45:00+00:00,1,2660.92,1.884,2659.036,13.569,2672.605,3.769,0.636,245,2661.537,2672.834,4,retest,newyork,bull,2,True,0.2241,0.142,0.6339,0.858,3.154
2025-01-21 11:15:00+00:00,2025-01-21 11:30:00+00:00,1,2711.219,1.652,2709.567,10.423,2719.99,3.304,0.5088,255,2711.219,2720.066,2,retest,london,bull,8,True,0.2967,0.1652,0.5381,0.8348,4.056
2025-02-12 08:15:00+00:00,2025-02-12 08:30:00+00:00,1,2878.613,1.98,2876.633,15.152,2891.785,3.959,0.4632,265,2878.613,2890.692,2,retest,london,bull,9,True,0.384,0.1196,0.4964,0.8804,4.18
2025-02-24 14:30:00+00:00,2025-02-24 14:45:00+00:00,1,2934.735,2.314,2932.421,10.409,2942.83,4.628,0.4723,268,2936.941,2950.322,3,retest,overlap,bull,6,True,0.0176,0.1104,0.872,0.8896,9.1
