exit_ts,equity
2025-01-03 15:45:00+00:00,10000.0
2025-01-06 05:30:00+00:00,9974.89
2025-01-09 13:35:00+00:00,10024.77
2025-01-13 17:05:00+00:00,9999.62
2025-01-15 09:44:00+00:00,10049.61
2025-01-21 16:18:00+00:00,10099.86
2025-02-12 13:14:00+00:00,10074.53
2025-02-24 15:04:00+00:00,10049.23
2025-03-24 14:24:00+00:00,10023.98
2025-03-26 01:03:00+00:00,9998.83
2025-03-26 13:57:00+00:00,9973.67
2025-04-10 14:10:00+00:00,10023.54
2025-06-05 13:01:00+00:00,9998.42
2025-06-10 23:22:00+00:00,9973.31
2025-06-13 00:54:00+00:00,10023.17
2025-06-17 14:33:00+00:00,9998.05
2025-06-18 14:20:00+00:00,9972.92
2025-07-21 12:37:00+00:00,10022.79
2025-07-25 05:44:00+00:00,9997.64
2025-08-28 12:09:00+00:00,10047.63
2025-09-17 18:09:00+00:00,10097.87
2025-09-18 06:05:00+00:00,10072.55
2025-10-13 23:34:00+00:00,10122.92
2025-11-19 16:02:00+00:00,10097.56
2025-11-21 06:30:00+00:00,10072.29
2025-12-05 21:20:00+00:00,10047.06
2025-12-19 01:25:00+00:00,10021.88
2026-03-04 18:40:00+00:00,9996.8
2026-03-12 17:58:00+00:00,9971.76
2026-04-16 14:40:00+00:00,9946.79
2026-04-17 20:41:00+00:00,9921.88
2026-04-21 16:51:00+00:00,9897.04
