strategy,trend_mode,session_filter,r_target,risk_pct,trades,win_rate_pct,profit_factor,expectancy_R,exp_R_ci_low,exp_R_ci_high,prob_no_edge,net_return_pct,max_drawdown_pct,worst_losing_streak,timeouts,skipped_overlapping,final_equity
001A,ema50_200,False,3.0,0.25,200,32.5,1.26,0.1826,-0.0572,0.4393,0.0712,9.34,-4.23,11,13,194,10934.19
001A,ema50_200,False,3.0,0.5,200,32.5,1.252,0.1826,-0.0572,0.4393,0.0712,19.09,-8.31,11,13,194,11908.89
001B,ema50,True,1.0,0.25,308,47.08,0.88,-0.0622,-0.1729,0.0486,0.8634,-4.77,-6.81,7,0,341,9523.38
001B,ema50,True,1.0,0.5,308,47.08,0.876,-0.0622,-0.1729,0.0486,0.8634,-9.48,-13.28,7,0,341,9051.9
001B,ema50,True,1.5,0.25,286,37.41,0.872,-0.0787,-0.2169,0.0626,0.8648,-5.59,-8.32,9,4,363,9440.63
001B,ema50,True,1.5,0.5,286,37.41,0.868,-0.0787,-0.2169,0.0626,0.8648,-11.11,-16.12,9,4,363,8889.45
001B,ema50,True,2.0,0.25,270,31.85,0.851,-0.0976,-0.2574,0.0676,0.8842,-6.52,-9.45,14,14,379,9348.1
001B,ema50,True,2.0,0.5,270,31.85,0.845,-0.0976,-0.2574,0.0676,0.8842,-12.88,-18.16,14,14,379,8711.96
001B,ema50,True,2.5,0.25,257,27.63,0.785,-0.1517,-0.321,0.0252,0.9548,-9.44,-11.84,18,24,392,9056.45
001B,ema50,True,2.5,0.5,257,27.63,0.78,-0.1517,-0.321,0.0252,0.9548,-18.25,-22.48,18,24,392,8175.19
001B,ema50,True,3.0,0.25,248,26.61,0.784,-0.1533,-0.3363,0.0367,0.9427,-9.23,-11.58,18,31,401,9077.45
001B,ema50,True,3.0,0.5,248,26.61,0.778,-0.1533,-0.3363,0.0367,0.9427,-17.89,-22.03,18,31,401,8211.27
001B,ema50,False,1.0,0.25,339,46.9,0.873,-0.0658,-0.1724,0.0409,0.8937,-5.52,-7.54,7,0,413,9447.93
001B,ema50,False,1.0,0.5,339,46.9,0.87,-0.0658,-0.1724,0.0409,0.8937,-10.93,-14.64,7,0,413,8907.3
001B,ema50,False,1.5,0.25,313,37.06,0.859,-0.0874,-0.222,0.0499,0.8985,-6.74,-10.11,12,4,439,9325.73
001B,ema50,False,1.5,0.5,313,37.06,0.856,-0.0874,-0.222,0.0499,0.8985,-13.28,-19.38,12,4,439,8672.31
001B,ema50,False,2.0,0.25,296,32.09,0.874,-0.0816,-0.2335,0.0742,0.8508,-6.02,-9.87,14,16,456,9398.09
001B,ema50,False,2.0,0.5,296,32.09,0.869,-0.0816,-0.2335,0.0742,0.8508,-11.97,-18.9,14,16,456,8802.61
001B,ema50,False,2.5,0.25,279,28.32,0.829,-0.1189,-0.2839,0.0537,0.9124,-8.13,-12.22,16,26,473,9187.28
001B,ema50,False,2.5,0.5,279,28.32,0.825,-0.1189,-0.2839,0.0537,0.9124,-15.9,-23.17,16,26,473,8409.99
001B,ema50,False,3.0,0.25,272,27.21,0.832,-0.1173,-0.2923,0.068,0.8955,-7.85,-11.42,16,35,480,9215.42
001B,ema50,False,3.0,0.5,272,27.21,0.827,-0.1173,-0.2923,0.068,0.8955,-15.41,-21.77,16,35,480,8458.92
001B,ema50_200,True,1.0,0.25,204,47.06,0.88,-0.0624,-0.2001,0.0753,0.8175,-3.19,-4.39,7,0,208,9680.53
001B,ema50_200,True,1.0,0.5,204,47.06,0.877,-0.0624,-0.2001,0.0753,0.8175,-6.41,-8.7,7,0,208,9359.23
001B,ema50_200,True,1.5,0.25,191,39.27,0.937,-0.0369,-0.2063,0.1359,0.6662,-1.83,-4.2,8,4,221,9817.0
001B,ema50_200,True,1.5,0.5,191,39.27,0.933,-0.0369,-0.2063,0.1359,0.6662,-3.79,-8.34,8,4,221,9620.52
001B,ema50_200,True,2.0,0.25,180,34.44,0.957,-0.0255,-0.2214,0.1761,0.5941,-1.24,-4.88,11,10,232,9875.62
001B,ema50_200,True,2.0,0.5,180,34.44,0.953,-0.0255,-0.2214,0.1761,0.5941,-2.68,-9.63,11,10,232,9732.3
001B,ema50_200,True,2.5,0.25,171,29.24,0.867,-0.0905,-0.3025,0.1321,0.7912,-3.9,-5.56,13,15,241,9609.78
