signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-04-24 18:15:00+00:00,2015-04-24 18:30:00+00:00,-1,1182.495,0.834,1183.329,5.724,1177.605,1.669,0.2587,38,1177.026,1182.495,3,retest,newyork,bear,6,True,0.4616,0.3022,0.2362,0.2362,0.931
2015-05-08 10:15:00+00:00,2015-05-08 10:30:00+00:00,-1,1190.35,0.555,1190.905,3.733,1187.172,1.11,0.2812,47,1187.08,1190.35,2,retest,london,bear,7,True,0.2863,0.3979,0.3158,0.3158,1.474
2015-05-08 12:30:00+00:00,2015-05-08 12:45:00+00:00,-1,1194.12,1.297,1195.417,9.967,1185.45,2.594,0.3267,47,1187.08,1190.35,2,retest,overlap,bear,8,True,0.6329,0.0659,0.3012,0.3012,11.687
2015-05-08 13:30:00+00:00,2015-05-08 13:45:00+00:00,-1,1196.387,1.491,1197.878,9.814,1188.063,2.981,0.3095,42,1190.165,1196.387,6,retest,overlap,bear,4,True,0.8355,0.0835,0.0809,0.0809,4.861
2015-05-08 14:15:00+00:00,2015-05-08 14:30:00+00:00,-1,1193.617,1.416,1195.033,9.008,1186.024,2.832,0.2755,47,1187.08,1190.35,2,retest,overlap,bear,2,True,0.3945,0.4719,0.1336,0.1336,1.524
2015-06-01 15:00:00+00:00,2015-06-01 15:15:00+00:00,-1,1204.394,1.318,1205.713,9.966,1195.747,2.637,0.2667,61,1200.479,1202.813,2,retest,overlap,bear,4,True,0.823,0.0173,0.1597,0.1597,5.753
2015-06-02 08:15:00+00:00,2015-06-02 08:30:00+00:00,-1,1190.7,0.676,1191.376,4.162,1187.215,1.352,0.2901,47,1187.08,1190.35,2,retest,london,bear,2,True,0.6425,0.2007,0.1569,0.1569,1.37
2015-06-02 09:00:00+00:00,2015-06-02 09:15:00+00:00,-1,1190.35,0.649,1190.998,3.983,1187.015,1.297,0.2861,47,1187.08,1190.35,2,retest,london,bear,2,True,0.0581,0.7608,0.1811,0.1811,0.972
2015-06-03 13:30:00+00:00,2015-06-03 13:45:00+00:00,-1,1195.148,0.918,1196.066,5.803,1190.264,1.836,0.3089,52,1189.992,1195.148,5,retest,overlap,bear,4,True,0.0085,0.9378,0.0537,0.0537,2.42
2015-06-03 14:15:00+00:00,2015-06-03 14:30:00+00:00,-1,1195.148,0.924,1196.072,6.17,1189.902,1.848,0.2952,52,1189.992,1195.148,5,retest,overlap,bear,2,True,0.5108,0.334,0.1552,0.1552,1.846
2015-06-03 19:30:00+00:00,2015-06-03 19:45:00+00:00,-1,1187.303,0.784,1188.087,2.058,1186.028,1.568,0.3286,62,1184.411,1187.303,3,retest,newyork,bear,12,True,0.2791,0.7074,0.0135,0.0135,1.075
2015-06-04 08:45:00+00:00,2015-06-04 09:00:00+00:00,-1,1185.983,0.853,1186.836,4.236,1182.6,1.706,0.3211,54,1180.656,1185.983,3,retest,london,bear,7,True,0.7724,0.1725,0.0552,0.0552,3.282
2015-06-04 12:45:00+00:00,2015-06-04 13:00:00+00:00,-1,1185.983,1.001,1186.984,7.885,1179.099,2.001,0.2987,54,1180.656,1185.983,3,retest,overlap,bear,2,True,0.5611,0.1973,0.2416,0.2416,3.015
2015-06-04 13:45:00+00:00,2015-06-04 14:00:00+00:00,-1,1183.856,1.121,1184.977,8.719,1176.258,2.241,0.2875,53,1177.708,1182.18,5,retest,overlap,bear,1,True,0.387,0.2811,0.3318,0.3318,2.682
2015-06-04 19:00:00+00:00,2015-06-04 19:15:00+00:00,-1,1182.18,0.75,1182.93,5.589,1177.341,1.499,0.2793,53,1177.708,1182.18,5,retest,newyork,bear,1,True,0.1135,0.5779,0.3086,0.3086,1.005
2015-06-09 11:00:00+00:00,2015-06-09 11:15:00+00:00,-1,1185.983,0.62,1186.604,4.96,1181.644,1.241,0.3153,54,1180.656,1185.983,3,retest,london,bear,9,True,0.3907,0.3343,0.2751,0.2751,0.718
2015-06-09 16:00:00+00:00,2015-06-09 16:15:00+00:00,-1,1182.18,0.683,1182.863,5.332,1177.53,1.366,0.2943,53,1177.708,1182.18,5,retest,newyork,bear,9,True,0.8197,0.161,0.0192,0.0192,1.065
