signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-06-04 08:45:00+00:00,2015-06-04 09:00:00+00:00,2015-06-05 12:30:00+00:00,SELL,london,rejection,62,1182.398,1188.155,1170.884,1170.884,target,5.757,4.3041,49.56,2.0,9960.99,106.0,1187.303,0.853,5.555,1.706,0.3211,1184.411,1187.303,3,bear,,0.7724,0.1725,0.0552,0.0552,3.282
2015-06-09 16:00:00+00:00,2015-06-09 16:15:00+00:00,2015-06-10 07:00:00+00:00,SELL,newyork,rejection,53,1177.33,1182.863,1166.264,1182.913,stop,5.533,4.5007,-25.13,-1.009,9935.87,53.0,1182.18,0.683,5.332,1.366,0.2943,1177.708,1182.18,5,bear,,0.8197,0.161,0.0192,0.0192,1.065
2015-06-10 07:15:00+00:00,2015-06-10 07:30:00+00:00,2015-06-10 10:00:00+00:00,SELL,london,rejection,62,1184.189,1187.911,1176.745,1187.961,stop,3.722,6.6737,-25.17,-1.013,9910.69,10.0,1187.303,0.609,3.556,1.218,0.2592,1184.411,1187.303,3,bear,,0.1164,0.7451,0.1385,0.1385,0.975
2015-06-11 12:45:00+00:00,2015-06-11 13:00:00+00:00,2015-06-15 15:30:00+00:00,SELL,overlap,rejection,62,1182.679,1188.297,1171.443,1188.347,stop,5.618,4.4102,-25.0,-1.009,9885.7,194.0,1187.303,0.994,5.379,1.989,0.3011,1184.411,1187.303,3,bear,,0.2271,0.4531,0.3198,0.3198,3.384
2015-06-15 15:45:00+00:00,2015-06-15 16:00:00+00:00,2015-06-18 08:11:00+00:00,SELL,newyork,rejection,52,1188.889,1196.324,1174.019,1196.374,stop,7.435,3.324,-24.88,-1.007,9860.82,,1195.173,1.151,7.244,2.301,0.2687,1189.967,1195.173,6,bear,,0.5791,0.0997,0.3212,0.3212,1.966
2015-07-13 09:15:00+00:00,2015-07-13 09:30:00+00:00,2015-07-15 15:00:00+00:00,SELL,london,rejection,74,1155.46,1160.411,1145.558,1145.558,target,4.951,4.9792,49.3,2.0,9910.12,206.0,1159.631,0.78,4.771,1.56,0.3097,1155.917,1159.631,3,bear,,0.484,0.4569,0.059,0.059,1.456
2015-07-15 15:15:00+00:00,2015-07-15 15:30:00+00:00,2015-07-17 14:00:00+00:00,SELL,overlap,rejection,78,1145.101,1150.518,1134.267,1134.267,target,5.417,4.5736,49.55,2.0,9959.67,178.0,1149.593,0.925,5.227,1.851,0.2851,1145.814,1149.593,2,bear,,0.9534,0.0115,0.0351,0.0351,2.134
2015-09-16 15:30:00+00:00,2015-09-16 15:45:00+00:00,2015-09-17 18:12:00+00:00,SELL,newyork,rejection,97,1120.518,1127.024,1107.506,1127.074,stop,6.506,3.8271,-25.09,-1.008,9934.58,,1126.144,0.881,6.264,1.761,0.3066,1121.721,1126.144,2,bear,,0.7116,0.2882,0.0002,0.0002,2.221
2015-09-22 12:15:00+00:00,2015-09-22 12:30:00+00:00,2015-09-22 12:48:00+00:00,BUY,overlap,rejection,95,1130.812,1124.964,1142.508,1124.914,stop,5.848,4.247,-25.05,-1.009,9909.53,,1125.786,0.822,5.611,1.643,0.2866,1125.786,1130.455,3,bear,,0.5834,0.0091,0.4075,0.9909,2.251
2015-09-22 15:00:00+00:00,2015-09-22 15:15:00+00:00,2015-09-24 12:15:00+00:00,BUY,overlap,rejection,97,1126.509,1120.926,1137.675,1137.675,target,5.583,4.4374,49.55,2.0,9959.08,171.0,1121.855,0.928,5.384,1.857,0.2718,1121.855,1126.01,3,bear,,0.7581,0.1182,0.1238,0.8818,1.688
