year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,23,43.48,0.2986,171.54,1.521
2016,25,28.0,-0.1666,-106.83,0.767
2017,9,44.44,0.3263,73.51,1.575
2018,26,42.31,0.2366,155.27,1.399
2019,19,26.32,-0.2238,-109.9,0.697
2020,17,58.82,0.5241,228.14,2.256
2021,14,28.57,-0.1469,-54.23,0.792
2022,22,50.0,0.4968,285.1,1.982
2023,26,19.23,-0.4282,-293.41,0.469
2024,16,50.0,0.4973,206.6,1.976
