year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,25,44.0,0.314,196.35,1.555
2016,26,30.77,-0.0833,-56.66,0.877
2017,11,54.55,0.6306,176.44,2.367
2018,29,37.93,0.1091,80.02,1.169
2019,20,25.0,-0.2632,-137.04,0.65
2020,18,55.56,0.439,203.43,1.973
2021,14,28.57,-0.1469,-54.51,0.792
2022,26,53.85,0.6124,420.34,2.312
2023,28,17.86,-0.4696,-351.52,0.428
2024,18,50.0,0.4972,235.54,1.978
