year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,29,41.38,0.2349,169.72,1.393
2016,26,26.92,-0.1993,-132.31,0.726
2017,24,41.67,0.242,145.1,1.402
2018,41,31.71,-0.0739,-79.39,0.89
2019,28,21.43,-0.3696,-259.43,0.533
2020,27,40.74,0.068,43.73,1.109
2021,29,27.59,-0.1849,-133.24,0.744
2022,43,37.21,0.1115,114.78,1.169
2023,42,26.19,-0.2193,-226.9,0.7
2024,20,40.0,0.1969,94.06,1.321
