year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,21,33.33,-0.1018,-54.4,0.845
2016,20,25.0,-0.2545,-126.87,0.659
2017,9,33.33,-0.0061,-1.92,0.987
2018,25,40.0,0.0733,43.7,1.122
2019,17,11.76,-0.7239,-299.32,0.185
2020,19,47.37,0.2301,104.02,1.431
2021,14,35.71,0.0682,22.25,1.101
2022,20,50.0,0.4974,242.4,1.983
2023,24,16.67,-0.5039,-296.8,0.398
2024,11,63.64,0.9077,242.53,3.435
