year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,28,39.29,0.0758,51.62,1.127
2016,26,26.92,-0.1971,-129.43,0.73
2017,21,33.33,-0.0065,-4.71,0.987
2018,40,30.0,-0.1897,-188.35,0.723
2019,27,14.81,-0.6107,-393.89,0.284
2020,30,30.0,-0.195,-136.86,0.709
2021,29,34.48,-0.0269,-19.53,0.956
2022,39,41.03,0.2276,203.46,1.377
2023,41,26.83,-0.1989,-191.47,0.728
2024,15,53.33,0.5979,207.28,2.266
