year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,27,37.04,-0.0243,-17.91,0.958
2016,21,23.81,-0.2906,-152.24,0.618
2017,18,33.33,-0.0061,-3.82,0.987
2018,38,28.95,-0.2187,-203.81,0.686
2019,23,13.04,-0.6718,-365.37,0.231
2020,27,33.33,-0.136,-85.83,0.795
2021,27,33.33,-0.0657,-41.99,0.899
2022,36,41.67,0.2469,202.78,1.413
2023,39,25.64,-0.2345,-212.89,0.685
2024,14,57.14,0.7125,229.18,2.639
