year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,22,36.36,0.0292,14.88,1.045
2016,23,26.09,-0.2219,-128.24,0.698
2017,11,36.36,0.0847,22.33,1.128
2018,26,38.46,0.0211,12.23,1.032
2019,21,14.29,-0.6355,-326.31,0.262
2020,21,42.86,0.1124,55.68,1.192
2021,14,35.71,0.0682,22.21,1.101
2022,22,50.0,0.4974,266.55,1.983
2023,25,20.0,-0.4037,-248.85,0.497
2024,12,58.33,0.7482,218.97,2.761
