year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2015,31,41.94,0.2514,194.53,1.426
2016,27,29.63,-0.1178,-82.37,0.83
2017,28,42.86,0.2773,196.16,1.473
2018,46,32.61,-0.0443,-55.23,0.932
2019,29,20.69,-0.3918,-288.57,0.509
2020,29,37.93,-0.0061,-6.03,0.987
2021,34,23.53,-0.3064,-257.76,0.599
2022,49,38.78,0.1585,186.87,1.248
2023,46,23.91,-0.2882,-324.64,0.62
2024,23,43.48,0.3013,165.56,1.526
