year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2021,14,21.43,-0.4671,-162.73,0.409
2022,53,37.74,0.1274,163.86,1.195
2023,53,28.3,-0.1559,-207.52,0.781
2024,25,40.0,0.1961,119.06,1.32
