signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held
2025-01-06 14:45:00+00:00,2025-01-06 15:00:00+00:00,2025-01-09 11:54:00+00:00,BUY,overlap,rejection,523,2632.125,2611.607,2673.161,2673.161,target,20.518,1.2185,50.0,2.0,10050.0,
2025-01-09 14:30:00+00:00,2025-01-09 14:45:00+00:00,2025-01-13 17:05:00+00:00,BUY,overlap,rejection,533,2674.105,2659.681,2702.952,2659.631,stop,14.424,1.7419,-25.21,-1.003,10024.79,
2025-01-13 17:00:00+00:00,2025-01-13 17:15:00+00:00,2025-01-16 01:06:00+00:00,BUY,newyork,rejection,528,2662.592,2644.318,2699.14,2699.14,target,18.274,1.3714,50.12,2.0,10074.91,
2025-01-21 09:15:00+00:00,2025-01-21 09:30:00+00:00,2025-01-22 01:08:00+00:00,BUY,london,rejection,543,2722.802,2709.412,2749.582,2749.582,target,13.39,1.8811,50.37,2.0,10125.29,
2025-02-11 13:30:00+00:00,2025-02-11 13:45:00+00:00,2025-02-12 13:18:00+00:00,BUY,overlap,rejection,553,2895.425,2875.757,2934.762,2875.707,stop,19.668,1.287,-25.38,-1.003,10099.91,
2025-02-14 16:45:00+00:00,2025-02-14 17:00:00+00:00,2025-02-19 01:50:00+00:00,BUY,newyork,rejection,553,2896.335,2875.284,2938.437,2938.437,target,21.051,1.1995,50.5,2.0,10150.41,
2025-03-24 08:45:00+00:00,2025-03-24 09:00:00+00:00,2025-03-24 14:24:00+00:00,BUY,london,rejection,567,3029.302,3018.083,3051.74,3018.033,stop,11.219,2.2619,-25.49,-1.004,10124.92,
2025-03-25 14:30:00+00:00,2025-03-25 14:45:00+00:00,2025-03-26 01:03:00+00:00,BUY,overlap,rejection,567,3030.671,3016.366,3059.28,3016.316,stop,14.305,1.7695,-25.4,-1.003,10099.52,
2025-03-26 12:30:00+00:00,2025-03-26 12:45:00+00:00,2025-03-26 13:50:00+00:00,BUY,overlap,rejection,567,3029.185,3018.153,3051.249,3018.103,stop,11.032,2.2887,-25.36,-1.005,10074.16,
2025-03-27 09:45:00+00:00,2025-03-27 10:00:00+00:00,2025-03-28 01:15:00+00:00,BUY,london,rejection,571,3040.375,3027.429,3066.266,3066.266,target,12.946,1.9455,50.37,2.0,10124.53,57.0
2025-04-09 13:30:00+00:00,2025-04-09 13:45:00+00:00,2025-04-10 14:10:00+00:00,BUY,overlap,rejection,568,3073.195,3037.741,3144.103,3144.103,target,35.454,0.7139,50.62,2.0,10175.15,
2025-06-11 20:15:00+00:00,2025-06-11 20:30:00+00:00,2025-06-12 13:44:00+00:00,BUY,newyork,rejection,599,3353.252,3331.226,3397.305,3397.305,target,22.026,1.1549,50.88,2.0,10226.02,
2025-06-12 13:30:00+00:00,2025-06-12 13:45:00+00:00,2025-06-17 14:36:00+00:00,BUY,overlap,rejection,598,3398.802,3371.534,3453.338,3371.484,stop,27.268,0.9375,-25.61,-1.002,10200.41,
2025-06-30 20:00:00+00:00,2025-06-30 20:15:00+00:00,2025-07-01 03:27:00+00:00,SELL,newyork,rejection,604,3307.098,3321.734,3277.826,3321.784,stop,14.636,1.7424,-25.59,-1.003,10174.82,
2025-07-24 16:30:00+00:00,2025-07-24 16:45:00+00:00,2025-07-25 05:49:00+00:00,BUY,newyork,rejection,608,3371.002,3355.855,3401.296,3355.805,stop,15.147,1.6794,-25.52,-1.003,10149.3,
2025-08-26 18:00:00+00:00,2025-08-26 18:15:00+00:00,2025-08-28 12:09:00+00:00,BUY,newyork,rejection,620,3382.902,3370.266,3408.175,3408.175,target,12.636,2.0079,50.75,2.0,10200.05,
2025-09-15 14:45:00+00:00,2025-09-15 15:00:00+00:00,2025-09-17 18:09:00+00:00,BUY,overlap,rejection,634,3663.965,3644.408,3703.078,3703.078,target,19.557,1.3039,51.0,2.0,10251.05,
2025-09-19 18:00:00+00:00,2025-09-19 18:15:00+00:00,2025-09-22 06:37:00+00:00,BUY,newyork,rejection,632,3680.045,3664.557,3711.021,3711.021,target,15.488,1.6547,51.26,2.0,10302.31,
2025-10-13 07:00:00+00:00,2025-10-13 07:15:00+00:00,2025-10-13 23:34:00+00:00,BUY,london,rejection,645,4072.331,4045.958,4125.077,4125.077,target,26.373,0.9766,51.51,2.0,10353.82,
2025-11-19 13:15:00+00:00,2025-11-19 13:30:00+00:00,2025-11-19 16:02:00+00:00,BUY,overlap,rejection,659,4109.935,4085.944,4157.917,4085.894,stop,23.991,1.0789,-25.94,-1.002,10327.88,
2025-11-19 17:15:00+00:00,2025-11-19 17:30:00+00:00,2025-11-21 06:30:00+00:00,BUY,newyork,rejection,645,4072.585,4029.065,4159.626,4029.015,stop,43.52,0.5933,-25.85,-1.001,10302.03,140.0
2026-01-05 13:45:00+00:00,2026-01-05 14:00:00+00:00,2026-01-06 08:27:00+00:00,BUY,overlap,rejection,678,4417.405,4388.53,4475.155,4475.155,target,28.875,0.8919,51.51,2.0,10353.54,
2026-01-08 15:00:00+00:00,2026-01-08 15:15:00+00:00,2026-01-11 23:06:00+00:00,BUY,overlap,rejection,674,4448.355,4410.414,4524.237,4524.237,target,37.941,0.6822,51.77,2.0,10405.31,
2026-02-27 17:30:00+00:00,2026-02-27 17:45:00+00:00,2026-03-01 23:00:00+00:00,BUY,newyork,rejection,698,5234.945,5184.233,5336.368,5336.368,target,50.712,0.513,52.03,2.0,10457.33,17.0
2026-03-04 15:15:00+00:00,2026-03-04 15:30:00+00:00,2026-03-04 18:40:00+00:00,BUY,overlap,rejection,699,5156.931,5109.964,5250.865,5109.914,stop,46.967,0.5566,-26.17,-1.001,10431.16,
2026-04-15 12:00:00+00:00,2026-04-15 12:15:00+00:00,2026-04-16 14:40:00+00:00,BUY,overlap,rejection,713,4814.785,4778.15,4888.055,4778.1,stop,36.635,0.7118,-26.11,-1.001,10405.05,
2026-04-21 15:00:00+00:00,2026-04-21 15:15:00+00:00,2026-04-21 16:51:00+00:00,BUY,overlap,rejection,719,4748.475,4713.378,4818.668,4713.328,stop,35.097,0.7412,-26.05,-1.001,10379.0,
2026-06-01 16:00:00+00:00,2026-06-01 16:15:00+00:00,2026-06-02 04:06:00+00:00,SELL,newyork,rejection,732,4466.905,4503.225,4394.265,4503.275,stop,36.32,0.7144,-25.98,-1.001,10353.02,
2026-07-01 14:30:00+00:00,2026-07-01 14:45:00+00:00,2026-07-03 01:03:00+00:00,SELL,overlap,rejection,747,4092.545,4154.663,3968.31,4154.713,stop,62.118,0.4167,-25.9,-1.001,10327.11,
