strategy,period,r_target,risk_pct,trades,win_rate_pct,profit_factor,expectancy_R,exp_R_ci_low,exp_R_ci_high,prob_no_edge,net_return_pct,max_drawdown_pct,worst_losing_streak,avg_win,avg_loss,timeouts,skipped_overlapping,final_equity
001B,in-sample,3.0,0.5,85,29.41,0.965,-0.0181,-0.3475,0.335,0.5486,-1.03,-8.17,7,113.75,-49.12,11,154,9896.66
001B,out-of-sample,1.0,0.25,32,59.38,1.452,0.1865,-0.1266,0.4995,0.183,1.49,-1.0,4,25.22,-25.38,0,14,10149.24
001B,out-of-sample,1.0,0.5,32,59.38,1.447,0.1865,-0.1266,0.4995,0.183,2.99,-1.99,4,50.89,-51.41,0,14,10298.65
001B,out-of-sample,1.5,0.25,30,53.33,1.699,0.3322,-0.085,0.7494,0.0999,2.51,-1.25,5,38.09,-25.63,0,16,10250.65
001B,out-of-sample,1.5,0.5,30,53.33,1.687,0.3322,-0.085,0.7494,0.0999,5.04,-2.48,5,77.37,-52.4,0,16,10504.31
001B,out-of-sample,2.0,0.25,29,48.28,1.848,0.4471,-0.0706,0.9649,0.0439,3.27,-1.25,5,50.91,-25.7,0,17,10327.11
001B,out-of-sample,2.0,0.5,29,48.28,1.835,0.4471,-0.0706,0.9649,0.0439,6.6,-2.48,5,103.65,-52.73,0,17,10660.22
001B,out-of-sample,2.5,0.25,28,46.43,2.047,0.572,-0.0517,1.1992,0.0423,4.06,-1.25,5,61.01,-25.83,2,18,10405.54
001B,out-of-sample,2.5,0.5,28,46.43,2.028,0.572,-0.0517,1.1992,0.0423,8.21,-2.48,5,124.63,-53.25,2,18,10821.48
001B,out-of-sample,3.0,0.25,27,44.44,2.106,0.6289,-0.0673,1.3471,0.0415,4.3,-1.25,5,68.27,-25.94,3,19,10430.21
001B,out-of-sample,3.0,0.5,27,44.44,2.083,0.6289,-0.0673,1.3471,0.0415,8.72,-2.48,5,139.76,-53.69,3,19,10871.9
