signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held
2022-02-07 13:15:00+00:00,2022-02-07 13:30:00+00:00,2022-02-09 13:00:00+00:00,BUY,overlap,rejection,73,1816.646,1810.141,1829.656,1829.656,target,6.505,3.8189,49.69,2.0,9986.83,182.0
2022-02-09 16:30:00+00:00,2022-02-09 16:45:00+00:00,2022-02-10 13:30:00+00:00,BUY,newyork,rejection,76,1833.05,1825.724,1847.702,1825.674,stop,7.326,3.408,-25.14,-1.007,9961.69,79.0
2022-02-10 16:30:00+00:00,2022-02-10 16:45:00+00:00,2022-02-10 20:01:00+00:00,BUY,newyork,rejection,75,1840.442,1828.56,1864.206,1828.51,stop,11.882,2.0959,-25.01,-1.004,9936.68,
2022-02-11 17:00:00+00:00,2022-02-11 17:15:00+00:00,2022-02-11 18:46:00+00:00,BUY,newyork,rejection,75,1840.052,1831.49,1857.177,1857.177,target,8.562,2.9013,49.68,2.0,9986.36,
2022-02-15 13:30:00+00:00,2022-02-15 13:45:00+00:00,2022-02-17 03:59:00+00:00,BUY,overlap,rejection,74,1851.572,1840.692,1873.333,1873.333,target,10.88,2.2946,49.93,2.0,10036.3,
2022-03-24 14:00:00+00:00,2022-03-24 14:15:00+00:00,2022-03-28 05:30:00+00:00,BUY,overlap,rejection,94,1956.082,1940.438,1987.369,1940.388,stop,15.644,1.6039,-25.17,-1.003,10011.13,149.0
2022-05-09 14:00:00+00:00,2022-05-09 14:15:00+00:00,2022-05-10 23:53:00+00:00,SELL,overlap,rejection,113,1862.948,1877.082,1834.679,1834.679,target,14.134,1.7707,50.06,2.0,10061.18,
2022-05-12 08:45:00+00:00,2022-05-12 09:00:00+00:00,2022-05-12 17:01:00+00:00,SELL,london,rejection,115,1847.018,1858.676,1823.701,1823.701,target,11.658,2.1575,50.31,2.0,10111.49,
2022-05-19 15:30:00+00:00,2022-05-19 15:45:00+00:00,2022-05-23 08:19:00+00:00,SELL,newyork,rejection,115,1843.833,1859.226,1813.046,1859.276,stop,15.393,1.6422,-25.36,-1.003,10086.13,
2022-05-26 12:15:00+00:00,2022-05-26 12:30:00+00:00,2022-05-26 14:16:00+00:00,SELL,overlap,rejection,127,1844.106,1853.172,1825.973,1853.222,stop,9.066,2.7812,-25.35,-1.006,10060.77,
2022-05-26 14:45:00+00:00,2022-05-26 15:00:00+00:00,2022-05-27 07:15:00+00:00,SELL,overlap,rejection,115,1846.653,1858.851,1822.257,1858.901,stop,12.198,2.062,-25.26,-1.004,10035.52,61.0
2022-06-20 09:15:00+00:00,2022-06-20 09:30:00+00:00,2022-06-22 05:40:00+00:00,SELL,london,rejection,129,1842.413,1851.053,1825.134,1825.134,target,8.64,2.9039,50.18,2.0,10085.69,
2022-06-22 11:15:00+00:00,2022-06-22 11:30:00+00:00,2022-06-24 13:05:00+00:00,SELL,london,rejection,136,1838.81,1849.656,1817.118,1817.118,target,10.846,2.3247,50.43,2.0,10136.12,
2022-07-05 12:30:00+00:00,2022-07-05 12:45:00+00:00,2022-07-05 13:55:00+00:00,SELL,overlap,rejection,139,1800.148,1807.271,1785.901,1785.901,target,7.123,3.5574,50.68,2.0,10186.8,
2022-07-12 13:15:00+00:00,2022-07-12 13:30:00+00:00,2022-07-13 12:42:00+00:00,SELL,overlap,rejection,143,1729.245,1740.06,1707.614,1707.614,target,10.815,2.3547,50.93,2.0,10237.74,
2022-07-21 16:00:00+00:00,2022-07-21 16:15:00+00:00,2022-07-22 09:28:00+00:00,SELL,newyork,rejection,149,1710.914,1722.613,1687.515,1722.663,stop,11.699,2.1877,-25.7,-1.004,10212.03,
2022-08-12 20:45:00+00:00,2022-08-14 22:00:00+00:00,2022-08-15 02:02:00+00:00,BUY,newyork,rejection,162,1803.142,1796.59,1816.246,1796.54,stop,6.552,3.8964,-25.72,-1.008,10186.31,
2022-08-30 14:15:00+00:00,2022-08-30 14:30:00+00:00,2022-08-31 22:21:00+00:00,SELL,overlap,rejection,168,1725.484,1734.615,1707.222,1707.222,target,9.131,2.789,50.93,2.0,10237.24,
2022-09-06 07:15:00+00:00,2022-09-06 07:30:00+00:00,2022-09-07 00:22:00+00:00,SELL,london,rejection,174,1713.864,1721.813,1697.967,1697.967,target,7.949,3.2198,51.19,2.0,10288.43,
2022-09-07 10:00:00+00:00,2022-09-07 10:15:00+00:00,2022-09-07 14:31:00+00:00,SELL,london,rejection,175,1704.888,1711.809,1691.045,1711.859,stop,6.921,3.7162,-25.91,-1.007,10262.52,
2022-09-21 19:15:00+00:00,2022-09-21 19:30:00+00:00,2022-09-23 10:56:00+00:00,SELL,newyork,rejection,173,1679.165,1696.291,1644.912,1644.912,target,17.126,1.4981,51.31,2.0,10313.83,
2022-09-23 13:30:00+00:00,2022-09-23 13:45:00+00:00,2022-09-26 17:35:00+00:00,SELL,overlap,rejection,181,1647.575,1660.154,1622.417,1622.417,target,12.579,2.0498,51.57,2.0,10365.4,
2022-09-28 14:45:00+00:00,2022-09-28 15:00:00+00:00,2022-09-28 15:52:00+00:00,SELL,overlap,rejection,181,1650.398,1658.921,1633.352,1658.971,stop,8.523,3.0405,-26.07,-1.006,10339.34,
2022-09-29 11:15:00+00:00,2022-09-29 11:30:00+00:00,2022-09-29 13:37:00+00:00,SELL,london,rejection,181,1649.388,1658.028,1632.108,1658.078,stop,8.64,2.9917,-26.0,-1.006,10313.34,
2022-09-29 13:30:00+00:00,2022-09-29 13:45:00+00:00,2022-09-29 16:08:00+00:00,SELL,overlap,rejection,183,1650.575,1663.779,1624.167,1663.829,stop,13.204,1.9527,-25.88,-1.004,10287.46,
2022-11-15 19:45:00+00:00,2022-11-15 20:00:00+00:00,2022-11-17 03:04:00+00:00,BUY,newyork,rejection,204,1778.973,1766.211,1804.496,1766.161,stop,12.762,2.0153,-25.82,-1.004,10261.64,
2022-11-18 16:00:00+00:00,2022-11-18 16:15:00+00:00,2022-11-18 19:05:00+00:00,BUY,overlap,rejection,205,1757.902,1748.657,1776.392,1748.607,stop,9.245,2.7749,-25.79,-1.005,10235.84,
2022-11-29 11:45:00+00:00,2022-11-29 12:00:00+00:00,2022-11-29 13:52:00+00:00,BUY,london,rejection,205,1757.643,1750.092,1772.744,1750.042,stop,7.551,3.3891,-25.76,-1.007,10210.09,
2022-11-30 14:00:00+00:00,2022-11-30 14:15:00+00:00,2022-11-30 15:34:00+00:00,BUY,overlap,rejection,205,1757.955,1749.683,1774.498,1749.633,stop,8.272,3.0858,-25.68,-1.006,10184.41,
2022-12-01 08:00:00+00:00,2022-12-01 08:15:00+00:00,2022-12-01 14:11:00+00:00,BUY,london,rejection,204,1778.012,1769.249,1795.538,1795.538,target,8.763,2.9055,50.92,2.0,10235.33,
2022-12-02 16:00:00+00:00,2022-12-02 16:15:00+00:00,2022-12-05 15:00:00+00:00,BUY,overlap,rejection,206,1790.002,1779.091,1811.825,1779.041,stop,10.911,2.3451,-25.71,-1.005,10209.62,87.0
2022-12-05 15:30:00+00:00,2022-12-05 15:45:00+00:00,2022-12-05 18:05:00+00:00,BUY,overlap,rejection,204,1777.943,1768.806,1796.218,1768.756,stop,9.137,2.7934,-25.66,-1.005,10183.96,
2022-12-07 16:15:00+00:00,2022-12-07 16:30:00+00:00,2022-12-09 11:29:00+00:00,BUY,overlap,rejection,204,1778.403,1768.741,1797.727,1797.727,target,9.662,2.6351,50.92,2.0,10234.88,
2022-12-12 15:00:00+00:00,2022-12-12 15:15:00+00:00,2022-12-12 17:33:00+00:00,BUY,overlap,rejection,206,1789.522,1781.491,1805.583,1781.441,stop,8.031,3.1862,-25.75,-1.006,10209.13,
2023-01-05 16:00:00+00:00,2023-01-05 16:15:00+00:00,2023-01-06 15:11:00+00:00,BUY,overlap,rejection,220,1831.175,1816.408,1860.708,1860.708,target,14.767,1.7284,51.05,2.0,10260.18,
2023-01-11 10:15:00+00:00,2023-01-11 10:30:00+00:00,2023-01-11 12:15:00+00:00,BUY,london,rejection,230,1884.525,1877.798,1897.979,1877.748,stop,6.727,3.8131,-25.84,-1.007,10234.34,7.0
2023-01-20 09:15:00+00:00,2023-01-20 09:30:00+00:00,2023-01-20 14:32:00+00:00,BUY,london,rejection,235,1931.845,1922.38,1950.775,1922.33,stop,9.465,2.7033,-25.72,-1.005,10208.62,
2023-01-23 20:30:00+00:00,2023-01-23 20:45:00+00:00,2023-01-24 14:58:00+00:00,BUY,newyork,rejection,235,1931.765,1922.419,1950.458,1922.369,stop,9.346,2.7307,-25.66,-1.005,10182.96,
2023-01-25 08:15:00+00:00,2023-01-25 08:30:00+00:00,2023-01-25 13:51:00+00:00,BUY,london,rejection,235,1931.765,1922.53,1950.234,1922.48,stop,9.235,2.7567,-25.6,-1.005,10157.36,
2023-01-25 15:30:00+00:00,2023-01-25 15:45:00+00:00,2023-01-27 15:48:00+00:00,BUY,overlap,rejection,235,1931.765,1918.166,1958.964,1918.116,stop,13.599,1.8672,-25.49,-1.004,10131.88,
2023-01-27 15:45:00+00:00,2023-01-27 16:00:00+00:00,2023-01-31 06:06:00+00:00,BUY,overlap,rejection,240,1924.345,1912.874,1947.288,1912.824,stop,11.471,2.2081,-25.44,-1.004,10106.44,
2023-02-02 15:15:00+00:00,2023-02-02 15:30:00+00:00,2023-02-02 17:58:00+00:00,BUY,overlap,rejection,240,1925.165,1911.83,1951.836,1911.78,stop,13.335,1.8946,-25.36,-1.004,10081.07,
2023-02-14 14:00:00+00:00,2023-02-14 14:15:00+00:00,2023-02-16 13:49:00+00:00,SELL,overlap,rejection,231,1858.705,1873.854,1828.408,1828.408,target,15.149,1.6637,50.41,2.0,10131.48,
2023-02-22 12:30:00+00:00,2023-02-22 12:45:00+00:00,2023-02-23 00:00:00+00:00,SELL,london,rejection,251,1841.625,1850.594,1823.687,1823.687,target,8.969,2.824,50.66,2.0,10182.14,41.0
2023-02-23 08:15:00+00:00,2023-02-23 08:30:00+00:00,2023-02-24 13:30:00+00:00,SELL,london,rejection,250,1827.415,1834.812,1812.621,1812.621,target,7.397,3.4413,50.91,2.0,10233.05,112.0
2023-02-24 14:00:00+00:00,2023-02-24 14:15:00+00:00,2023-02-28 15:00:00+00:00,SELL,overlap,rejection,252,1811.775,1822.088,1791.149,1822.138,stop,10.313,2.4807,-25.71,-1.005,10207.34,187.0
2023-02-28 18:45:00+00:00,2023-02-28 19:00:00+00:00,2023-03-01 06:17:00+00:00,SELL,newyork,rejection,250,1827.928,1833.619,1816.547,1833.669,stop,5.691,4.4843,-25.74,-1.009,10181.6,
2023-03-07 18:00:00+00:00,2023-03-07 18:15:00+00:00,2023-03-09 13:59:00+00:00,SELL,newyork,rejection,252,1815.445,1824.722,1796.89,1824.772,stop,9.277,2.7436,-25.59,-1.005,10156.01,
2023-03-21 17:45:00+00:00,2023-03-21 18:00:00+00:00,2023-03-22 18:40:00+00:00,BUY,newyork,rejection,263,1941.795,1928.341,1968.703,1968.703,target,13.454,1.8872,50.78,2.0,10206.79,
2023-04-12 14:00:00+00:00,2023-04-12 14:15:00+00:00,2023-04-13 12:30:00+00:00,BUY,overlap,rejection,268,2010.452,1997.463,2036.431,2036.431,target,12.989,1.9645,51.03,2.0,10257.82,85.0
2023-04-13 15:00:00+00:00,2023-04-13 15:15:00+00:00,2023-04-14 12:44:00+00:00,BUY,overlap,rejection,274,2037.552,2023.952,2064.752,2023.902,stop,13.6,1.8856,-25.74,-1.004,10232.08,
2023-04-17 08:00:00+00:00,2023-04-17 08:15:00+00:00,2023-04-17 12:30:00+00:00,BUY,london,rejection,265,2012.722,2004.064,2030.038,2004.014,stop,8.658,2.9545,-25.73,-1.006,10206.35,17.0
2023-04-18 16:45:00+00:00,2023-04-18 17:00:00+00:00,2023-04-19 06:08:00+00:00,BUY,newyork,rejection,268,2007.495,1998.369,2025.747,1998.319,stop,9.126,2.7959,-25.66,-1.005,10180.7,
2023-04-20 17:00:00+00:00,2023-04-20 17:15:00+00:00,2023-04-21 05:31:00+00:00,BUY,newyork,rejection,268,2007.415,1997.66,2026.924,1997.61,stop,9.755,2.6092,-25.58,-1.005,10155.12,
2023-05-10 13:30:00+00:00,2023-05-10 13:45:00+00:00,2023-05-10 15:10:00+00:00,BUY,overlap,rejection,274,2036.285,2023.13,2062.595,2023.08,stop,13.155,1.9299,-25.48,-1.004,10129.63,
2023-05-11 14:00:00+00:00,2023-05-11 14:15:00+00:00,2023-05-12 09:44:00+00:00,BUY,overlap,rejection,265,2015.352,2001.42,2043.217,2001.37,stop,13.932,1.8176,-25.41,-1.004,10104.22,
2023-05-26 13:45:00+00:00,2023-05-26 14:00:00+00:00,2023-05-30 11:33:00+00:00,SELL,overlap,rejection,288,1946.718,1957.781,1924.592,1957.831,stop,11.063,2.2833,-25.37,-1.005,10078.84,
