signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held
2021-09-28 08:00:00+00:00,2021-09-28 08:15:00+00:00,2021-09-29 17:35:00+00:00,SELL,london,retest,24,1741.154,1750.543,1722.376,1722.376,target,9.389,2.6627,50.0,2.0,10050.0,
2021-09-30 13:30:00+00:00,2021-09-30 13:45:00+00:00,2021-09-30 14:08:00+00:00,SELL,overlap,retest,26,1738.27,1745.799,1723.211,1745.849,stop,7.529,3.337,-25.29,-1.007,10024.71,
2021-09-30 15:30:00+00:00,2021-09-30 15:45:00+00:00,2021-10-04 14:39:00+00:00,SELL,newyork,retest,24,1759.656,1766.274,1746.419,1766.324,stop,6.618,3.7867,-25.25,-1.008,9999.46,
2021-10-06 13:00:00+00:00,2021-10-06 13:15:00+00:00,2021-10-07 07:22:00+00:00,SELL,overlap,retest,31,1756.858,1766.544,1737.485,1766.594,stop,9.686,2.5808,-25.13,-1.005,9974.33,
2021-10-15 09:45:00+00:00,2021-10-15 10:00:00+00:00,2021-10-15 11:44:00+00:00,BUY,london,retest,28,1783.972,1778.521,1794.874,1778.471,stop,5.451,4.5744,-25.16,-1.009,9949.16,
2021-10-15 13:15:00+00:00,2021-10-15 13:30:00+00:00,2021-10-18 08:29:00+00:00,BUY,overlap,retest,25,1769.476,1761.098,1786.231,1761.048,stop,8.378,2.969,-25.02,-1.006,9924.14,
2021-10-22 16:00:00+00:00,2021-10-22 16:15:00+00:00,2021-10-27 19:15:00+00:00,BUY,newyork,retest,28,1788.962,1777.409,1812.068,1795.128,timeout,11.553,2.1475,13.24,0.534,9937.38,288.0
2021-12-06 11:30:00+00:00,2021-12-06 11:45:00+00:00,2021-12-08 02:04:00+00:00,SELL,london,retest,43,1780.578,1788.299,1765.135,1788.349,stop,7.721,3.2175,-25.0,-1.006,9912.38,
2021-12-09 14:30:00+00:00,2021-12-09 14:45:00+00:00,2021-12-10 14:02:00+00:00,SELL,overlap,retest,43,1776.973,1788.231,1754.456,1788.281,stop,11.258,2.2011,-24.89,-1.004,9887.49,
2021-12-14 17:15:00+00:00,2021-12-14 17:30:00+00:00,2021-12-15 19:00:00+00:00,SELL,newyork,retest,56,1772.725,1781.688,1754.799,1754.799,target,8.963,2.7578,49.44,2.0,9936.93,98.0
2021-12-15 19:15:00+00:00,2021-12-15 19:30:00+00:00,2021-12-15 20:06:00+00:00,SELL,newyork,retest,60,1762.778,1773.158,1742.017,1773.208,stop,10.38,2.3932,-24.96,-1.005,9911.97,
2021-12-15 20:30:00+00:00,2021-12-15 20:45:00+00:00,2021-12-16 11:19:00+00:00,SELL,newyork,retest,43,1777.545,1788.556,1755.523,1788.606,stop,11.011,2.2505,-24.89,-1.005,9887.07,
