signal_ts,entry_ts,direction,stop,ref_close,atr15,zone_id,zone_lo,zone_hi,setup,session
2021-09-28 08:00:00+00:00,2021-09-28 08:15:00+00:00,-1,1750.5431025850226,1741.3629999999998,2.3076717731420775,24,1742.9242333015482,1749.3892666984516,retest,london
2021-09-28 09:15:00+00:00,2021-09-28 09:30:00+00:00,-1,1750.5052610708349,1742.4099999999999,2.2319887447663613,24,1742.9242333015482,1749.3892666984516,retest,london
2021-09-28 13:30:00+00:00,2021-09-28 13:45:00+00:00,-1,1746.3073085567175,1732.7965,4.092181811419352,26,1735.823282348992,1744.2612176510079,retest,overlap
2021-09-28 14:00:00+00:00,2021-09-28 14:15:00+00:00,-1,1746.4289809829718,1732.409,4.335526663927901,26,1735.823282348992,1744.2612176510079,retest,overlap
2021-09-28 15:30:00+00:00,2021-09-28 15:45:00+00:00,-1,1746.5991009043178,1736.3365,4.675766506619673,26,1735.823282348992,1744.2612176510079,retest,newyork
2021-09-29 11:00:00+00:00,2021-09-29 11:15:00+00:00,-1,1750.2573686755463,1743.4434999999999,1.7362039541894554,24,1742.9242333015482,1749.3892666984516,retest,london
2021-09-30 13:30:00+00:00,2021-09-30 13:45:00+00:00,-1,1745.7992840061672,1738.525,3.0761327103189067,26,1735.823282348992,1744.2612176510079,retest,overlap
2021-09-30 15:30:00+00:00,2021-09-30 15:45:00+00:00,-1,1766.2743047040274,1759.864,4.0206094080543,24,1742.9242333015482,1749.3892666984516,retest,newyork
2021-10-06 13:00:00+00:00,2021-10-06 13:15:00+00:00,-1,1766.5442519884818,1757.0929999999998,3.105901845733201,31,1755.7516989343849,1764.9913010656153,retest,overlap
2021-10-15 09:45:00+00:00,2021-10-15 10:00:00+00:00,1,1778.5208365630053,1783.78,1.8260983389168788,28,1779.4338857324638,1783.7866142675362,retest,london
2021-10-15 13:15:00+00:00,2021-10-15 13:30:00+00:00,1,1761.0984750385467,1769.277,2.9542811753644367,25,1762.575615626229,1772.3118843737711,retest,overlap
2021-10-22 16:00:00+00:00,2021-10-22 16:15:00+00:00,1,1777.4088461363153,1788.7635,4.40695916769734,28,1779.612325720164,1786.969674279836,retest,newyork
2021-10-26 14:15:00+00:00,2021-10-26 14:30:00+00:00,1,1777.9939727413007,1785.703,3.236705957726857,28,1779.612325720164,1786.969674279836,retest,overlap
2021-10-26 15:30:00+00:00,2021-10-26 15:45:00+00:00,1,1778.0900077488925,1790.145,3.044635942543063,28,1779.612325720164,1786.969674279836,retest,newyork
2021-10-27 09:30:00+00:00,2021-10-27 09:45:00+00:00,1,1779.6304255853054,1787.1599999999999,1.9835634501175008,43,1780.622207310364,1784.7467926896359,retest,london
2021-10-27 14:15:00+00:00,2021-10-27 14:30:00+00:00,1,1778.0430549831901,1788.42,3.1385414739477304,28,1779.612325720164,1786.969674279836,retest,overlap
2021-12-06 11:30:00+00:00,2021-12-06 11:45:00+00:00,-1,1788.2993454370676,1780.7849999999999,1.8855254008036222,43,1778.958417263334,1787.3565827366658,retest,london
2021-12-07 14:15:00+00:00,2021-12-07 14:30:00+00:00,-1,1788.6168328140238,1778.93,2.520500154715991,43,1778.958417263334,1787.3565827366658,retest,overlap
2021-12-09 14:30:00+00:00,2021-12-09 14:45:00+00:00,-1,1788.2313658735875,1777.2350000000001,2.9002787427535295,43,1777.9637734977891,1786.7812265022108,retest,overlap
2021-12-09 16:00:00+00:00,2021-12-09 16:15:00+00:00,-1,1788.2290608439637,1779.275,2.895668683506024,43,1777.9637734977891,1786.7812265022108,retest,overlap
2021-12-14 17:15:00+00:00,2021-12-14 17:30:00+00:00,-1,1781.6881600094441,1772.915,2.4673028780478075,56,1773.9139914295797,1780.45450857042,retest,newyork
2021-12-15 19:15:00+00:00,2021-12-15 19:30:00+00:00,-1,1773.1584921452632,1763.045,2.9930798014036566,60,1764.690547755439,1771.6619522445612,retest,newyork
2021-12-15 20:30:00+00:00,2021-12-15 20:45:00+00:00,-1,1788.5560216393076,1777.7485000000001,4.0125373425183115,43,1778.1952470319516,1786.5497529680483,retest,newyork
2021-12-15 21:00:00+00:00,2021-12-15 21:15:00+00:00,-1,1788.4808698325523,1777.47,3.862233729008145,43,1778.1952470319516,1786.5497529680483,retest,newyork
2021-12-28 14:30:00+00:00,2021-12-28 14:45:00+00:00,1,1809.0319316579933,1815.3029999999999,2.2181366840135612,58,1812.1747294921804,1816.9647705078196,retest,overlap
2021-12-29 11:30:00+00:00,2021-12-29 11:45:00+00:00,1,1791.3765229284977,1795.9035,1.5077569474993608,36,1792.1304014022473,1802.0305985977527,retest,london
2022-01-05 19:15:00+00:00,2022-01-05 19:30:00+00:00,1,1810.6363577395873,1819.5549999999998,2.584179971087747,58,1811.9284477251313,1818.4260522748689,retest,newyork
2022-01-24 16:45:00+00:00,2022-01-24 17:00:00+00:00,1,1825.2671515112377,1835.045,2.7020495485390748,72,1826.6181762855072,1833.4618237144928,retest,newyork
2022-01-25 15:15:00+00:00,2022-01-25 15:30:00+00:00,1,1837.7383337971455,1843.885,3.2933324057088407,74,1842.5587753285213,1849.7812246714789,retest,overlap
2022-01-25 20:15:00+00:00,2022-01-25 20:30:00+00:00,1,1841.4250666719702,1849.0819999999999,2.2674173131021185,74,1842.5587753285213,1849.7812246714789,retest,newyork
2022-01-26 14:45:00+00:00,2022-01-26 15:00:00+00:00,1,1825.17050827467,1836.1370000000002,2.8953360216742983,72,1826.6181762855072,1833.4618237144928,retest,overlap
2022-01-26 15:45:00+00:00,2022-01-26 16:00:00+00:00,1,1825.178595770682,1834.1770000000001,2.879161029650115,72,1826.6181762855072,1833.4618237144928,retest,overlap
2022-01-26 18:30:00+00:00,2022-01-26 18:45:00+00:00,1,1825.6123853513573,1831.723,2.349026335967151,76,1826.7868985193409,1831.516101480659,retest,newyork
2022-02-07 14:00:00+00:00,2022-02-07 14:15:00+00:00,1,1809.9827848438151,1815.848,1.928427199175758,73,1810.9469984434031,1816.1880015565969,retest,overlap
2022-02-10 14:30:00+00:00,2022-02-10 14:45:00+00:00,1,1820.2339513805969,1831.6729999999998,2.90809723880663,76,1826.7868985193409,1831.516101480659,retest,overlap
2022-02-10 16:30:00+00:00,2022-02-10 16:45:00+00:00,1,1828.5598852328421,1840.26,3.360229534315537,75,1833.1340959715756,1837.8309040284246,retest,newyork
2022-02-10 21:30:00+00:00,2022-02-10 21:45:00+00:00,1,1824.5256811394966,1826.9470000000001,2.338637721007253,72,1826.6181762855072,1833.4618237144928,retest,newyork
2022-02-11 14:30:00+00:00,2022-02-11 14:45:00+00:00,1,1823.874099528085,1830.28,2.1918009438298123,76,1826.7868985193409,1831.516101480659,retest,overlap
2022-02-15 13:30:00+00:00,2022-02-15 13:45:00+00:00,1,1840.6917219154634,1851.35,3.7341068261157018,74,1842.5587753285213,1849.7812246714789,retest,overlap
2022-02-15 15:00:00+00:00,2022-02-15 15:15:00+00:00,1,1840.4432110830448,1852.6464999999998,4.231128490953022,74,1842.5587753285213,1849.7812246714789,retest,overlap
2022-02-15 16:00:00+00:00,2022-02-15 16:15:00+00:00,1,1840.57789041299,1849.0349999999999,3.96176983106283,74,1842.5587753285213,1849.7812246714789,retest,overlap
2022-02-15 16:45:00+00:00,2022-02-15 17:00:00+00:00,1,1840.6802067573033,1852.56,3.7571371424362265,74,1842.5587753285213,1849.7812246714789,retest,newyork
2022-02-28 17:15:00+00:00,2022-02-28 17:30:00+00:00,1,1875.719616612375,1894.5275,4.974752795742554,88,1878.2069930102462,1896.1980069897538,retest,newyork
2022-03-11 12:45:00+00:00,2022-03-11 13:00:00+00:00,1,1951.457579217091,1975.28,6.87501522218093,97,1954.8950868281815,1976.7994131718185,retest,london
2022-03-24 12:30:00+00:00,2022-03-24 12:45:00+00:00,1,1940.7212741614007,1947.786,3.676451677198299,94,1946.2142666415134,1953.9057333584865,retest,overlap
2022-03-25 14:00:00+00:00,2022-03-25 14:15:00+00:00,1,1941.331337106666,1952.175,3.7873257866674748,94,1946.2142666415134,1953.9057333584865,retest,overlap
2022-03-25 17:45:00+00:00,2022-03-25 18:00:00+00:00,1,1944.565128040381,1953.5349999999999,3.2982772022645777,94,1946.2142666415134,1953.9057333584865,retest,newyork
2022-03-25 19:15:00+00:00,2022-03-25 19:30:00+00:00,1,1944.8421995482765,1955.344,2.7441341864738353,94,1946.2142666415134,1953.9057333584865,retest,newyork
2022-05-06 15:30:00+00:00,2022-05-06 15:45:00+00:00,-1,1899.753071824547,1887.1374999999998,4.251529262977138,88,1880.4401928069417,1897.6273071930584,retest,newyork
2022-05-09 12:30:00+00:00,2022-05-09 12:45:00+00:00,-1,1876.8272678730505,1866.165,3.3412637978158837,113,1863.1648640258575,1875.1566359741425,retest,overlap
2022-05-09 16:30:00+00:00,2022-05-09 16:45:00+00:00,-1,1876.9729538613226,1863.4275,3.632635774359895,113,1863.1648640258575,1875.1566359741425,retest,newyork
2022-05-11 13:45:00+00:00,2022-05-11 14:00:00+00:00,-1,1860.629029688442,1853.355,4.838059376883761,115,1847.8575036473542,1857.232496352646,retest,overlap
2022-05-12 08:00:00+00:00,2022-05-12 08:15:00+00:00,-1,1858.6634096122575,1849.9675,2.86182651922289,115,1847.8575036473542,1857.232496352646,retest,london
2022-05-12 09:45:00+00:00,2022-05-12 10:00:00+00:00,-1,1858.7563324579992,1848.1950000000002,3.0476722107066134,115,1847.8575036473542,1857.232496352646,retest,london
2022-05-12 13:15:00+00:00,2022-05-12 13:30:00+00:00,-1,1859.0481022996582,1845.1399999999999,3.631211894024538,115,1847.8575036473542,1857.232496352646,retest,overlap
2022-05-19 15:30:00+00:00,2022-05-19 15:45:00+00:00,-1,1859.22642157645,1844.087,3.987850447608117,115,1847.8575036473542,1857.232496352646,retest,newyork
2022-05-25 17:30:00+00:00,2022-05-25 17:45:00+00:00,-1,1853.2437017831583,1847.467,2.616955411597463,127,1846.7577759226403,1851.9352240773596,retest,newyork
2022-05-25 18:15:00+00:00,2022-05-25 18:30:00+00:00,-1,1858.5641246396867,1851.09,2.663256574081503,115,1847.8575036473542,1857.232496352646,retest,newyork
2022-05-26 12:15:00+00:00,2022-05-26 12:30:00+00:00,-1,1853.1724948825602,1844.3515,2.4745416104011952,127,1846.7577759226403,1851.9352240773596,retest,overlap
2022-05-26 13:15:00+00:00,2022-05-26 13:30:00+00:00,-1,1853.2407227294143,1845.74,2.61099730410946,127,1846.7577759226403,1851.9352240773596,retest,overlap
2022-05-26 14:30:00+00:00,2022-05-26 14:45:00+00:00,-1,1858.808902750961,1849.0875,3.1528127966299677,115,1847.8575036473542,1857.232496352646,retest,overlap
2022-05-26 15:30:00+00:00,2022-05-26 15:45:00+00:00,-1,1855.08565090437,1845.342,3.1263018087398224,127,1846.7577759226403,1851.9352240773596,retest,newyork
2022-05-26 16:30:00+00:00,2022-05-26 16:45:00+00:00,-1,1853.2715438979997,1846.2875,2.6726396412801274,127,1846.7577759226403,1851.9352240773596,retest,newyork
2022-05-26 17:45:00+00:00,2022-05-26 18:00:00+00:00,-1,1858.4015045614929,1849.5525,2.3380164176939324,115,1847.8575036473542,1857.232496352646,retest,newyork
2022-06-13 07:45:00+00:00,2022-06-13 08:00:00+00:00,1,1852.5868357281897,1857.335,2.5733188884214147,120,1853.8734951724005,1863.7485048275998,retest,london
2022-06-13 14:30:00+00:00,2022-06-13 14:45:00+00:00,1,1821.401583157667,1829.4325,4.231833684666106,119,1826.5944430423558,1834.3430569576442,retest,overlap
2022-06-20 09:15:00+00:00,2022-06-20 09:30:00+00:00,-1,1851.052660911365,1842.5415,2.188312167530169,129,1842.9439951724003,1849.9585048275999,retest,london
2022-06-20 11:15:00+00:00,2022-06-20 11:30:00+00:00,-1,1844.9599855214956,1837.89,2.0515729230000637,130,1838.4228009400044,1843.9341990599955,retest,london
2022-06-20 13:15:00+00:00,2022-06-20 13:30:00+00:00,-1,1845.0023974471555,1840.313,2.1363967743198753,130,1838.4228009400044,1843.9341990599955,retest,overlap
2022-06-20 14:15:00+00:00,2022-06-20 14:30:00+00:00,-1,1844.9859853179526,1837.25,2.1035725159139345,130,1838.4228009400044,1843.9341990599955,retest,overlap
2022-06-20 15:15:00+00:00,2022-06-20 15:30:00+00:00,-1,1844.9218349880857,1837.9425,1.9752718561801652,130,1838.4228009400044,1843.9341990599955,retest,overlap
2022-06-20 15:45:00+00:00,2022-06-20 16:00:00+00:00,-1,1844.8511415183998,1838.3175,1.8338849168084101,130,1838.4228009400044,1843.9341990599955,retest,newyork
2022-06-21 15:30:00+00:00,2022-06-21 15:45:00+00:00,-1,1845.454416859077,1835.3125,3.0404355981629054,130,1838.4228009400044,1843.9341990599955,retest,newyork
2022-06-22 11:15:00+00:00,2022-06-22 11:30:00+00:00,-1,1845.3499842157446,1839.002,2.8315703114980013,130,1838.4228009400044,1843.9341990599955,retest,london
2022-06-22 13:00:00+00:00,2022-06-22 13:15:00+00:00,-1,1848.373828742372,1842.375,3.1746574847443085,130,1838.4228009400044,1843.9341990599955,retest,overlap
2022-06-22 14:00:00+00:00,2022-06-22 14:15:00+00:00,-1,1851.901002568408,1841.0625,3.8849954816165595,129,1842.9439951724003,1849.9585048275999,retest,overlap
2022-06-22 15:30:00+00:00,2022-06-22 15:45:00+00:00,-1,1850.0497921504602,1838.984,3.618844298921725,136,1840.0096299990007,1848.2403700009993,retest,newyork
2022-06-22 20:45:00+00:00,2022-06-22 22:00:00+00:00,-1,1844.891725194309,1837.79,1.915052268626757,130,1838.4228009400044,1843.9341990599955,retest,newyork
2022-06-23 13:30:00+00:00,2022-06-23 13:45:00+00:00,-1,1845.197682532624,1835.758,2.526966945256643,130,1838.4228009400044,1843.9341990599955,retest,overlap
