signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held
2025-11-19 14:30:00+00:00,2025-11-19 14:45:00+00:00,2025-11-19 16:02:00+00:00,BUY,overlap,retest,659,4112.815,4085.338,4167.77,4085.288,stop,27.477,0.9232,-25.41,-1.002,10121.64,
2025-11-19 17:15:00+00:00,2025-11-19 17:30:00+00:00,2025-11-21 06:30:00+00:00,BUY,newyork,retest,645,4072.585,4029.065,4159.626,4029.015,stop,43.52,0.5814,-25.33,-1.001,10096.31,140.0
2025-12-05 16:15:00+00:00,2025-12-05 16:30:00+00:00,2025-12-05 21:20:00+00:00,BUY,overlap,retest,660,4217.075,4192.976,4265.273,4192.926,stop,24.099,1.0474,-25.29,-1.002,10071.01,
2025-12-08 15:15:00+00:00,2025-12-08 15:30:00+00:00,2025-12-09 06:10:00+00:00,BUY,overlap,retest,666,4192.485,4171.953,4233.549,4171.903,stop,20.532,1.2263,-25.24,-1.002,10045.77,
2025-12-18 17:30:00+00:00,2025-12-18 17:45:00+00:00,2025-12-19 01:25:00+00:00,BUY,newyork,retest,668,4337.845,4315.72,4382.095,4315.67,stop,22.125,1.1351,-25.17,-1.002,10020.6,
2025-12-29 15:30:00+00:00,2025-12-29 15:45:00+00:00,2025-12-31 05:53:00+00:00,BUY,overlap,retest,668,4331.892,4292.003,4411.67,4291.953,stop,39.889,0.628,-25.08,-1.001,9995.52,
2026-02-27 17:30:00+00:00,2026-02-27 17:45:00+00:00,2026-03-01 23:00:00+00:00,BUY,newyork,retest,698,5234.945,5184.233,5336.368,5336.368,target,50.712,0.4928,49.98,2.0,10045.5,17.0
2026-03-04 15:15:00+00:00,2026-03-04 15:30:00+00:00,2026-03-04 18:40:00+00:00,BUY,overlap,retest,699,5156.931,5109.964,5250.865,5109.914,stop,46.967,0.5347,-25.14,-1.001,10020.36,
2026-04-15 07:45:00+00:00,2026-04-15 08:00:00+00:00,2026-04-16 14:40:00+00:00,BUY,london,retest,713,4811.395,4778.397,4877.391,4778.347,stop,32.998,0.7592,-25.09,-1.002,9995.27,
2026-04-21 15:00:00+00:00,2026-04-21 15:15:00+00:00,2026-04-21 16:51:00+00:00,BUY,overlap,retest,719,4748.475,4713.378,4818.668,4713.328,stop,35.097,0.712,-25.02,-1.001,9970.24,
2026-05-05 07:15:00+00:00,2026-05-05 07:30:00+00:00,2026-05-05 12:25:00+00:00,SELL,london,retest,714,4548.695,4573.433,4499.219,4573.483,stop,24.738,1.0076,-24.98,-1.002,9945.27,
2026-05-05 12:30:00+00:00,2026-05-05 12:45:00+00:00,2026-05-05 13:08:00+00:00,SELL,overlap,retest,714,4566.815,4578.955,4542.536,4579.005,stop,12.14,2.0481,-24.97,-1.004,9920.3,
2026-05-28 17:00:00+00:00,2026-05-28 17:15:00+00:00,2026-05-29 09:13:00+00:00,SELL,newyork,retest,728,4503.515,4526.859,4456.828,4526.909,stop,23.344,1.0624,-24.85,-1.002,9895.45,
2026-06-01 16:00:00+00:00,2026-06-01 16:15:00+00:00,2026-06-02 04:06:00+00:00,SELL,newyork,retest,732,4466.905,4503.225,4394.265,4503.275,stop,36.32,0.6811,-24.77,-1.001,9870.68,
2026-07-01 14:30:00+00:00,2026-07-01 14:45:00+00:00,2026-07-03 01:03:00+00:00,SELL,overlap,retest,747,4092.545,4154.663,3968.31,4154.713,stop,62.118,0.3973,-24.7,-1.001,9845.98,
