year,trades,win_rate_pct,expectancy_R,net_pnl,profit_factor
2021,8,37.5,-0.0615,-12.71,0.899
2022,36,41.67,0.2469,221.86,1.413
2023,39,25.64,-0.2345,-232.88,0.685
2024,14,57.14,0.7125,250.71,2.639
